npa,country_code,country_name,state_province_code,state_province_name,region,created_at,updated_at,notes,is_active
561,US,United States,FL,Florida,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
562,US,United States,CA,California,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
563,US,United States,IA,Iowa,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
564,US,United States,WA,Washington,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
567,US,United States,OH,Ohio,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
570,US,United States,PA,Pennsylvania,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
571,US,United States,VA,Virginia,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
572,US,United States,OK,Oklahoma,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
573,US,United States,MO,Missouri,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
574,US,United States,IN,Indiana,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
575,US,United States,NM,New Mexico,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
579,CA,Canada,QC,Quebec,CA,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
580,US,United States,OK,Oklahoma,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
581,CA,Canada,QC,Quebec,CA,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
582,US,United States,PA,Pennsylvania,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
